serie,site,zone ,TipoDeArea,transect,year,especie ,grupo_funcional,grupo_trofico,N_max,indice_biodiversidad,biomasa_especie,estado
GH010123,Punta el Yeso,Norte,AMERB,2,2021,Isacia conceptionis ,Omnivore,Omnivoro,5,1.859428815,2264.070587,COMPLETO
GH010123,Punta el Yeso,Norte,AMERB,2,2021,Scartichthys viridis ,Herbivore and Detritivore,Herbivoro,1,1.859428815,16.3207625,COMPLETO
GH010123,Punta el Yeso,Norte,AMERB,2,2021,Paralabrax humeralis ,General Carnivore ,Carnivoro,1,1.859428815,1127.648641,COMPLETO
GH010123,Punta el Yeso,Norte,AMERB,2,2021,Pinguipes chilensis,General Carnivore ,Carnivoro,1,1.859428815,483.9974283,COMPLETO
GH010123,Punta el Yeso,Norte,AMERB,2,2021,Scartichthys gigas ,Herbivore and Detritivore,Herbivoro,3,1.859428815,17.19180765,COMPLETO
GH010123,Punta el Yeso,Norte,AMERB,2,2021,Hemilutjanus macrophthalmos,General Carnivore,Carnivoro,1,1.859428815,553.3373191,COMPLETO
GH010123,Punta el Yeso,Norte,AMERB,2,2021,Aplodactylus punctatus,Herbivore and Detritivore,Herbivoro,1,1.859428815,151.2922882,COMPLETO
GH010123,Punta el Yeso,Norte,AMERB,2,2021,Cheilodactylus variegatus,Movile invertivore,Carnivoro,2,1.859428815,709.9304767,COMPLETO
GH019867,Quintay,Central,AMERB,1,2021,Chromis crusma,Planktivore,Planctivoro,3,1.979204517,93.80431114,COMPLETO
GH019867,Quintay,Central ,AMERB,1,2021,Sebastes oculatus,General Carnivore ,Carnivoro,1,1.979204517,825.0452322,COMPLETO
GH019867,Quintay,Central ,AMERB,1,2021,Paralichthys adspersus ,General Carnivore ,Carnivoro,1,1.979204517,712.5161895,COMPLETO
GH019867,Quintay,Central ,AMERB,1,2021,Pinguipes chilensis,General Carnivore ,Carnivoro,2,1.979204517,1456.560095,COMPLETO
GH019867,Quintay,Central ,AMERB,1,2021,Aplodactylus punctatus,Herbivore and Detritivore,Herbivoro,1,1.979204517,536.3841048,COMPLETO
