serie,site,zone,TipoDeArea,transect,latitud,estacion,year,profundidad (m),temperatura celsius,hora_num_util,familia,especie,grupo_funcional,grupo_trofico,forrajeo_hr,PF_hr,estado,,,,,,
GH010102,Punta el Yeso,Norte,AMERB,1,-23.411305,fall ,2021,10.6,10.9,0.243333333,Blenidae,Scartichthys gigas ,Herbivore and Detritivore,Herbivoro,2.054794521,0.017492784,COMPLETO,,,,,,
GH010102,Punta el Yeso,Norte,AMERB,1,-23.411305,fall ,2021,10.6,10.9,0.243333333,NaN,NaN,NaN,Carnivoro,0,0,COMPLETO,,,,,,
GH010124,Punta el Yeso,Norte,AMERB,4,-23.411305,fall ,2021,8.7,16,0.05805,Blenidae,Scartichthys gigas ,Herbivore and Detritivore,Herbivoro,17.22652885,0.146652112,COMPLETO,,,,,,
GH010124,Punta el Yeso,Norte,AMERB,4,-23.411305,fall ,2021,8.7,16,0.05805,NaN,NaN,NaN,Carnivoro,0,0,COMPLETO,,,,,,
GOPR9622,Punta el Yeso,Norte,AMERB,6,-23.411305,fall ,2021,6.2,15,0.641383333,Blenidae,Scartichthys viridis,Herbivore and Detritivore,Herbivoro,2.338695008,0.003108156,COMPLETO,,,,,,
GOPR9622,Punta el Yeso,Norte,AMERB,6,-23.411305,fall ,2021,6.2,15,0.641383333,Blenidae,Scartichthys gigas ,Herbivore and Detritivore,Herbivoro,0.779565003,0.001418926,COMPLETO,,,,,,
GOPR9622,Punta el Yeso,Norte,AMERB,6,-23.411305,fall ,2021,6.2,15,0.641383333,Blenidae,Scartichthys viridis,Herbivore and Detritivore,Herbivoro,0.779565003,0.001036052,COMPLETO,,,,,,
GOPR9622,Punta el Yeso,Norte,AMERB,6,-23.411305,fall ,2021,6.2,15,0.641383333,Blenidae,Scartichthys gigas ,Herbivore and Detritivore,Herbivoro,0.779565003,0.003382787,COMPLETO,,,,,,
GOPR9622,Punta el Yeso,Norte,AMERB,6,-23.411305,fall ,2021,6.2,15,0.641383333,Blenidae,Scartichthys gigas ,Herbivore and Detritivore,Herbivoro,0.779565003,0.006636558,COMPLETO,,,,,,
GOPR9622,Punta el Yeso,Norte,AMERB,6,-23.411305,fall ,2021,6.2,15,0.641383333,Blenidae,Scartichthys gigas ,Herbivore and Detritivore,Herbivoro,0.779565003,0.001418926,COMPLETO,,,,,,
GOPR9622,Punta el Yeso,Norte,AMERB,6,-23.411305,fall ,2021,6.2,15,0.641383333,Blenidae,Scartichthys gigas ,Herbivore and Detritivore,Herbivoro,2.338695008,0.019909673,COMPLETO,,,,,,
GOPR9622,Punta el Yeso,Norte,AMERB,6,-23.411305,fall ,2021,6.2,15,0.641383333,Blenidae,Scartichthys gigas ,Herbivore and Detritivore,Herbivoro,3.897825014,0.016913935,COMPLETO,,,,,,
GOPR9622,Punta el Yeso,Norte,AMERB,6,-23.411305,fall ,2021,6.2,15,0.641383333,Blenidae,Scartichthys viridis,Herbivore and Detritivore,Herbivoro,0.779565003,0.001036052,COMPLETO,,,,,,
GOPR9622,Punta el Yeso,Norte,AMERB,6,-23.411305,fall ,2021,6.2,15,0.641383333,Blenidae,Scartichthys gigas ,Herbivore and Detritivore,Herbivoro,0.779565003,0.003382787,COMPLETO,,,,,,
GOPR9622,Punta el Yeso,Norte,AMERB,6,-23.411305,fall ,2021,6.2,15,0.641383333,NaN,NaN,NaN,Carnivoro,0,0,COMPLETO,,,,,,
GH029772,Punta Arenas,Norte,AMERB,1,-21.6323,fall ,2021,11.8,12.8,0.702216667,Blenidae,Scartichthys gigas ,Herbivore and Detritivore,Herbivoro,0.71203095,0.004409626,COMPLETO,,,,,,
GH029772,Punta Arenas,Norte,AMERB,1,-21.6323,fall ,2021,11.8,12.8,0.702216667,Blenidae,Scartichthys gigas ,Herbivore and Detritivore,Herbivoro,0.71203095,0.004409626,COMPLETO,,,,,,
GH029772,Punta Arenas,Norte,AMERB,1,-21.6323,fall ,2021,11.8,12.8,0.702216667,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,0.71203095,0.405080999,COMPLETO,,,,,,
GH029772,Punta Arenas,Norte,AMERB,1,-21.6323,fall ,2021,11.8,12.8,0.702216667,Blenidae,Scartichthys gigas ,Herbivore and Detritivore,Herbivoro,2.136092849,0.075188777,COMPLETO,,,,,,
GH029772,Punta Arenas,Norte,AMERB,1,-21.6323,fall ,2021,11.8,12.8,0.702216667,Blenidae,Scartichthys gigas ,Herbivore and Detritivore,Herbivoro,0.71203095,0.003089735,COMPLETO,,,,,,
GH029772,Punta Arenas,Norte,AMERB,1,-21.6323,fall ,2021,11.8,12.8,0.702216667,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,0.71203095,0.20464316,COMPLETO,,,,,,
GH029772,Punta Arenas,Norte,AMERB,1,-21.6323,fall ,2021,11.8,12.8,0.702216667,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,2.136092849,0.613929479,COMPLETO,,,,,,
GH029775,Punta Arenas,Norte,AMERB,2,-21.6323,fall ,2021,14.5,14,0.3886,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,2.573340196,1.463997061,COMPLETO,,,,,,
GH029775,Punta Arenas,Norte,AMERB,2,-21.6323,fall ,2021,14.5,14,0.3886,NaN,NaN,NaN,Herbivoro,0,0,COMPLETO,,,,,,
GH019767,Pisagua,Norte,AMERB,1,-19.56843,fall ,2021,14,16,0.437216667,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,2.287195517,2.273217052,COMPLETO,,,,,,
GH019767,Pisagua,Norte,AMERB,1,-19.56843,fall ,2021,14,16,0.437216667,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,1.143597759,1.136608526,COMPLETO,,,,,,
GH019767,Pisagua,Norte,AMERB,1,-19.56843,fall ,2021,14,16,0.437216667,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,3.430793276,3.409825578,COMPLETO,,,,,,
GH019767,Pisagua,Norte,AMERB,1,-19.56843,fall ,2021,14,16,0.437216667,Blenidae,Scartichthys viridis,Herbivore and Detritivore,Herbivoro,1.143597759,0.011826364,COMPLETO,,,,,,
GH019767,Pisagua,Norte,AMERB,1,-19.56843,fall ,2021,14,16,0.437216667,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,1.143597759,0.328678773,COMPLETO,,,,,,
GH019767,Pisagua,Norte,AMERB,1,-19.56843,fall ,2021,14,16,0.437216667,Blenidae,Scartichthys viridis,Herbivore and Detritivore,Herbivoro,1.143597759,0.011826364,COMPLETO,,,,,,
GH019767,Pisagua,Norte,AMERB,1,-19.56843,fall ,2021,14,16,0.437216667,Blenidae,Scartichthys viridis,Herbivore and Detritivore,Herbivoro,1.143597759,0.011826364,COMPLETO,,,,,,
GH019767,Pisagua,Norte,AMERB,1,-19.56843,fall ,2021,14,16,0.437216667,Cheilodactylidae,Cheilodactylus variegatus,Movile invertivore,Carnivoro,1.143597759,0.117386963,COMPLETO,,,,,,
